SubID,aex,artInterest,LockDown_days,experience_visit_again,experience_meaning,experience_beautifulness,experience_goodness,condition,age,see_art,per_Ext,per_A,per_Ce,per_ES,per_OE,block,posMood,negMood,lone,STAI,SAT,wellbeing
R_8wzUPwCzdtKiLhD,Female,7,60,3,3,3,4,non_art,29,"Yes, I saw art",4.5,6,6.5,3.5,6,post,5,3,2.6666666666666665,5.166666666666667,6.2,3.5
R_2tGceG7CFahsmtN,Female,7,65,7,7,7,7,art,24,"Yes, I saw art",5.5,4.5,7,2,7,pre,6,3,3.6666666666666665,3,6.4,5.5
R_2tGceG7CFahsmtN,Female,7,65,7,7,7,7,art,24,"Yes, I saw art",5.5,4.5,7,2,7,post,6,2,3.6666666666666665,2.5,6.4,6
R_b3JJNZM0iVDPap3,Female,7,70,1,3,3,4,non_art,48,"Yes, I saw art",1.5,4.5,6,4.5,6.5,pre,4,2,3.8333333333333335,4.666666666666667,5.6,3.5
R_b3JJNZM0iVDPap3,Female,7,70,1,3,3,4,non_art,48,"Yes, I saw art",1.5,4.5,6,4.5,6.5,post,3,2,3.6666666666666665,3.3333333333333335,4.8,3.75
R_z2LCV1FG9DLYtax,Female,7,68,2,5,2,2,non_art,33,"No, I experienced something else",2.5,5,5,4,6.5,pre,5,2,3.3333333333333335,3.5,4.8,5
R_z2LCV1FG9DLYtax,Female,7,68,2,5,2,2,non_art,33,"No, I experienced something else",2.5,5,5,4,6.5,post,4,3,3.5,4,5,4.75
R_3Gwf1aAtDANTMbJ,Female,7,60,3,5,4,4,non_art,25,"Yes, I saw art",4,5,4.5,6,5,pre,6,2,3,2.1666666666666665,4.2,5.25
R_3Gwf1aAtDANTMbJ,Female,7,60,3,5,4,4,non_art,25,"Yes, I saw art",4,5,4.5,6,5,post,6,2,3,2.5,3.8,5.5
R_3KW1VcneGFKPO3p,Female,7,48,1,3,5,4,non_art,72,"Yes, I saw art",6,6.5,7,3.5,6.5,pre,2,6,4.333333333333333,4,5.6,2.75
R_3KW1VcneGFKPO3p,Female,7,48,1,3,5,4,non_art,72,"Yes, I saw art",6,6.5,7,3.5,6.5,post,5,2,4,3.5,5,3.25
R_2CZm0rUbUQ7nuru,Female,7,48,7,2,2,7,non_art,23,"Yes, I saw art",4.5,4,4,1,6,pre,5,2,2.6666666666666665,2,5.8,5.25
R_2CZm0rUbUQ7nuru,Female,7,48,7,2,2,7,non_art,23,"Yes, I saw art",4.5,4,4,1,6,post,6,1,2.3333333333333335,1.1666666666666667,6.4,5.75
R_1DTEvDaFfx0YGbc,Female,7,38,2,5,5,6,non_art,32,"Yes, I saw art",5.5,5.5,5.5,3,7,pre,2,6,5.5,6.666666666666667,2.2,1.75
R_1DTEvDaFfx0YGbc,Female,7,38,2,5,5,6,non_art,32,"Yes, I saw art",5.5,5.5,5.5,3,7,post,2,6,5,6.166666666666667,1,1.5
R_3m3pKwBErp74c8i,Female,7,60,4,4,6,6,art,74,"Yes, I saw art",3.5,6.5,6.5,4.5,6,pre,6,2,1.5,3.5,6,5
R_3m3pKwBErp74c8i,Female,7,60,4,4,6,6,art,74,"Yes, I saw art",3.5,6.5,6.5,4.5,6,post,NA,NA,1.5,3.1666666666666665,NA,NA
R_3PZu2zkCm50xEsR,Female,7,40,3,4,5,5,art,23,"Yes, I saw art",3,5,4.5,4.5,6,pre,3,4,3,4,4,2.5
