SubID,aex,artInterest,LockDown_days,experience_visit_again,experience_meaning,experience_beautifulness,experience_goodness,condition,age,see_art,per_Ext,per_A,per_Ce,per_ES,per_OE,block,posMood,negMood,lone,STAI,SAT,wellbeing
R_1ozjrn2YkZMGGte,Female,6,35,3,6,6,7,non_art,25,"Yes, I saw art",5.5,5.5,6,4,6,post,5,1,3.5,2.3333333333333335,4.8,5.25
R_3R4mI2YydDjxazS,Female,7,32,4,5,5,5,non_art,25,"Yes, I saw art",6.5,5.5,4.5,4,5.5,pre,5,4,5.166666666666667,3.6666666666666665,5,4.5
R_3R4mI2YydDjxazS,Female,7,32,4,5,5,5,non_art,25,"Yes, I saw art",6.5,5.5,4.5,4,5.5,post,5,3,3.3333333333333335,2,5.4,5.5
R_3pkV9k0u2duE9nX,Female,6,40,3,5,5,4,non_art,24,"No, I experienced something else",5.5,5,7,4,6.5,pre,7,4,4,5.166666666666667,5,3
R_3pkV9k0u2duE9nX,Female,6,40,3,5,5,4,non_art,24,"No, I experienced something else",5.5,5,7,4,6.5,post,5,2,3.5,3,4.8,2.5
R_2sbfsYXfpZqvurz,Male,5,40,3,4,5,5,non_art,50,"Yes, I saw art",2.5,3.5,3,5,5,pre,4,2,4,3.5,3.8,4.25
R_2sbfsYXfpZqvurz,Male,5,40,3,4,5,5,non_art,50,"Yes, I saw art",2.5,3.5,3,5,5,post,4,2,4.166666666666667,3.3333333333333335,3.4,4.25
R_2s5N4cXatNxFEk9,Female,5,40,2,2,4,4,art,60,"Yes, I saw art",5.5,6,6.5,6,6,pre,6,1,2,2,4.2,4.75
R_2s5N4cXatNxFEk9,Female,5,40,2,2,4,4,art,60,"Yes, I saw art",5.5,6,6.5,6,6,post,6,1,2.3333333333333335,1.6666666666666667,4,6
R_2tn93C1BLjc4hEu,Female,6,48,2,5,6,7,art,42,"Yes, I saw art",3.5,2.5,7,2.5,6.5,pre,4,4,5,4,5.8,4.75
R_2tn93C1BLjc4hEu,Female,6,48,2,5,6,7,art,42,"Yes, I saw art",3.5,2.5,7,2.5,6.5,post,3,5,4.333333333333333,4,5.8,4.5
